name,category,source,url,lat,lng,insider_note,address,phone,email,description,amenities,spaces,features,hours_url,reservations_url,collected_at,scrape_error,building,noise_level,food_drink,access,hours_note,coffee,food,wifi,outlets,outlets_note,indoor_outdoor,hours,area,food_nearby,best_for,weather_dependent,campus_zone,feature_count,study_score,dist_to_nearest_cafe_m
Powell Library,library,ucla_library_website,https://www.library.ucla.edu/visit/locations/powell-library/,34.0713,-118.4417,Main undergrad library. Night Powell opens overnight during finals week. The Rotunda and Rose Gilbert Reading Room are quietest.,"10740 Dickson Plaza
Los Angeles, CA 90095-1450",(310) 825-1938,AskUs@library.ucla.edu,"The main undergraduate library on campus, Powell Library serves as a place for inquiry, creativity and community.","['24 Hour Study Space', 'ADA Stations', 'Computer/Laptop Access', 'Laptop Lending', 'Print, Copy and Scan', 'Research Help']",[],"['printing', '24_hours', 'computers', 'laptop_lending', 'ada_accessible']",https://calendar.library.ucla.edu/hours,https://calendar.library.ucla.edu/hours,2026-05-03T19:47:59.898209+00:00,,,,False,,,False,False,False,False,,,,,,,False,Central Campus,5,3.67,208.0
Charles E. Young Research Library (YRL),library,ucla_library_website,https://www.library.ucla.edu/visit/locations/research-library/,34.0752,-118.4418,"Graduate-focused. Cafe 451 on 1st floor (named after Fahrenheit 451, written by Bradbury on this campus). Research Commons has high-tech collaborative spaces.","280 Charles E. Young Drive, North
Los Angeles, CA 90095-1575",(310) 825-4732,AskUs@library.ucla.edu,"Named for UCLA's longest-serving chancellor, the Research Library houses research-level collections in a variety of humanities and social science fields.","['ADA Stations', 'Cafe', 'Computer/Laptop Access', 'Laptop Lending', 'Locker', 'Print, Copy and Scan', 'Research Help']",[],"['printing', 'computers', 'laptop_lending', 'food_nearby', 'ada_accessible']",https://calendar.library.ucla.edu/hours,https://calendar.library.ucla.edu/hours,2026-05-03T19:48:02.041250+00:00,,,,False,,,False,False,False,False,,,,,,,False,North Campus,5,3.67,0.0
Science and Engineering Library (SEL),library,ucla_library_website,https://www.library.ucla.edu/visit/locations/science-engineering-library/,34.0692,-118.4432,Two locations: Boelter Hall 8th floor and Geology Building. The silent section at the far end of Boelter is legendary. Less crowded than Powell or YRL.,"8270 Boelter Hall
Los Angeles, CA 90095-9810",(310) 825-3982,AskUs@library.ucla.edu,"With its two locations, the Science and Engineering Library (SEL) houses research materials for physical sciences and engineering and features a variety of study spaces.","['ADA Stations', 'Computer/Laptop Access', 'Laptop Lending', 'Print, Copy and Scan', 'Research Help']",[],"['printing', 'computers', 'laptop_lending', 'ada_accessible']",https://calendar.library.ucla.edu/hours,https://calendar.library.ucla.edu/hours,2026-05-03T19:48:03.913800+00:00,,,,False,,,False,False,False,False,,,,,,,False,South Campus,4,3.33,245.0
Louise M. Darling Biomedical Library,library,ucla_library_website,https://www.library.ucla.edu/visit/locations/biomed/,34.0663,-118.4446,24-hour reading room for health/life sciences grad students. 8 group study rooms on the 6th floor. Less foot traffic than north campus libraries.,"12-077 Center for the Health Sciences Box 951798
Los Angeles, CA 90095-1798",(310) 825-4904,AskUs@library.ucla.edu,"The Biomedical Library supports the teaching, research and patient care needs of the UCLA health and life science communities.","['24 Hour Study Space', 'ADA Stations', 'Computer/Laptop Access', 'Laptop Lending', 'Print, Copy and Scan', 'Research Help']",[],"['printing', '24_hours', 'computers', 'laptop_lending', 'ada_accessible']",https://calendar.library.ucla.edu/hours,https://calendar.library.ucla.edu/hours,2026-05-03T19:48:05.883432+00:00,,,,False,,,False,False,False,False,,,,,,,False,South Campus,5,3.67,559.0
Walter H. Rubsamen Music Library,library,ucla_library_website,https://www.library.ucla.edu/visit/locations/music-library/,34.0704,-118.4398,Very small and very quiet. Listening stations available. Rarely crowded — a hidden gem for focused solo study.,"1102 Schoenberg Music Building
Los Angeles, CA 90095-1490",(310) 825-4882,AskUs@library.ucla.edu,"The Music Library provides resources for music research, performance and study that span all music genres.","['Computer/Laptop Access', 'Laptop Lending', 'Print, Copy and Scan']",[],"['printing', 'computers', 'laptop_lending']",https://calendar.library.ucla.edu/hours,https://calendar.library.ucla.edu/hours,2026-05-03T19:48:07.957926+00:00,,,,False,,,False,False,False,False,,,,,,,False,South Campus,3,3.0,29.0
Richard C. Rudolph East Asian Library,library,ucla_library_website,https://www.library.ucla.edu/visit/locations/east-asian-library/,34.0752,-118.4415,Tucked inside YRL. Very quiet. Good option when main YRL floors are packed.,"21617 Charles E. Young Research Library
Box 951575
Los Angeles, CA 90095-1575",,eal-ref@library.ucla.edu,The East Asian Library supports UCLA's teaching and research programs in East Asian studies.,"['Computer/Laptop Access', 'Print, Copy and Scan', 'Research Help']",[],"['printing', 'computers']",https://calendar.library.ucla.edu/hours,https://calendar.library.ucla.edu/hours,2026-05-03T19:48:09.883368+00:00,,,,False,,,False,False,False,False,,,,,,,False,North Campus,2,2.67,28.0
Management Library,library,ucla_library_website,https://www.library.ucla.edu/visit/locations/management-library/,34.073,-118.4397,Located in Cornell Hall at Anderson School of Management. Anderson Starbucks is nearby.,,,,,[],[],[],https://calendar.library.ucla.edu/hours,,2026-05-03T19:48:11.735169+00:00,Could not fetch page,,,False,,,False,False,False,False,,,,,,,False,Central Campus,0,2.0,0.0
Arts Library,library,ucla_library_website,https://www.library.ucla.edu/visit/locations/arts-library/,34.0736,-118.4393,"Serves visual arts, architecture, and urban planning. Good natural light. Less crowded than big undergraduate libraries.","1400 Public Affairs Building
Los Angeles, CA 90095-1392",(310) 206-5425,AskUs@library.ucla.edu,"The Arts Library is home to a comprehensive collection of materials in the fields of architecture, architectural history, art, art history, design, fashion and costume, film, television, photography, theater and allied disciplines.","['Computer/Laptop Access', 'Laptop Lending', 'Print, Copy and Scan', 'Research Help']",[],"['printing', 'computers', 'laptop_lending']",https://calendar.library.ucla.edu/hours,https://calendar.library.ucla.edu/hours,2026-05-03T19:48:14.059871+00:00,,,,False,,,False,False,False,False,,,,,,,False,Central Campus,3,3.0,76.0
Louise Kerckhoff Study Lounge,study_lounge,asucla_website,https://www.asucla.ucla.edu/study-lounges,34.0713,-118.444,One of the most beautiful study spots on campus. Get there early.,,,,"Originally the Women's Smoking Room, now a co-ed study lounge with comfortable couches, bright lighting, and stained glass bay windows.",,,"['comfortable_seating', 'quiet', 'wifi', 'historic_space', 'outlets']",,,2026-05-03T19:48:14.065914+00:00,,"Kerckhoff Hall, 3rd Floor",quiet,False,"UCLA students, faculty, staff",Check ASUCLA for current hours.,False,False,False,False,,,,,,,False,Central Campus,5,4.67,0.0
Kerckhoff Second Floor Study Lounge,study_lounge,asucla_website,https://www.asucla.ucla.edu/study-lounges,34.0713,-118.444,Less known than the 3rd floor lounge — often easier to get a seat.,,,,"Smaller, cozier version of the 3rd floor lounge. Steps from Kerckhoff Coffeehouse.",,,"['comfortable_seating', 'quiet', 'wifi', 'coffee_nearby']",,,2026-05-03T19:48:14.066104+00:00,,"Kerckhoff Hall, 2nd Floor",quiet,False,"UCLA students, faculty, staff",Check ASUCLA for current hours.,False,False,False,False,,,,,,,False,Central Campus,4,4.33,0.0
